City,Number of Registrations
ALLENTOWN,11
ASPERS,3
Abbottstown,6
Abington,21
Acme,1
Airville,2
Akron,3
Albion,2
Albrightsville,9
Alburtis,7
Aldan,5
Alexandria,5
Aliquippa,34
Allentown,109
Allison Park,9
Altoona,27
Alum Bank,1
Ambler,20
Ambridge,7
Amity,6
Andreas,1
Annville,7
Apollo,5
Archbald,4
Ardmore,21
Ashland,3
Ashley,6
Aspinwall,4
Atglen,2
Athens,4
Atlantic,1
Atlasburg,3
Auburn,1
Audubon,10
Austin,1
Avalon,1
Avella,2
Avoca,8
Avondale,13
BAINBRIDGE,2
BETHEL,3
BROGUE,1
BROOKHAVEN,10
Baden,1
Bala Cynwyd,10
Bally,3
Bangor,13
Barnesville,2
Barto,8
Bath,8
Beach Lake,4
Bear Lake,1
Beaver,20
Beaver Falls,18
Beavertown,1
Bedford,21
Bedminster,1
Beech Creek,1
Belle Vernon,6
Bellefonte,21
Belleville,1
Bellwood,2
Bensalem,55
Bentleyville,5
Benton,2
Berlin,4
Bernville,7
Berwick,9
Berwyn,7
Bessemer,1
Bethel Park,27
Bethlehem,90
Biglerville,8
Bird In Hand,1
Birdsboro,7
Blain,2
Blairsville,5
Blakely,1
Blakeslee,1
Blandon,9
Blooming Grove,2
Bloomsburg,21
Blossburg,1
Blue BEll,25
Blue Ridge Summit,1
Boalsburg,6
Boiling Springs,11
Boothwyn,3
Boswell,1
Bowmanstown,1
Bowmansville,1
Boyers,1
Boyertown,13
Braddock,1
Bradford,9
Breinigsville,13
Brentwood,3
Bridgeport,4
Bridgeville,31
Brisbin,1
Bristol,6
Brockport,2
Brockway,4
Brodheadsville,1
Brookville,3
Broomall,10
Brownstown,1
Brownsville,7
Bryn Mawr,18
Bulger,1
Burgettstown,2
Bushkill,6
Butler,26
CANADENSIS,4
CENTRAL CITY,3
COCHRANVILLE,6
COLUMBUS,2
CRANBERRY TWP.,1
Cairnbrook,2
Cambridge springs,8
Camp Hill,51
Canonsburg,40
Canton,2
Carbondale,1
Carlisle,52
Carnegie,26
Carrolltown,3
Carversville,1
Castle Shannon,1
Catasauqua,2
Catawissa,1
Cecil`,1
Center Valey,1
Center Valley,13
Centre Hall,2
Chadds Ford,9
Chalfont,28
Chambersburg,37
Champion,2
Charleroi,5
Cheltenham,10
Chester,10
Chester Springs,25
Chesterbrook,3
Cheswick,11
Cheyney,1
Chicora,3
Childs,5
Christiana,3
Churchville,5
Clairton,10
Clarence,1
Clarion,13
Clarks Green,6
Clarks Mills,1
Clarks Summit,10
Clarksville,1
Clearfield,7
Cleona,1
Clifford Township,1
Clintonville,1
Coal Center,2
Coal Township,5
Coatesville,82
Cogan Station,1
Cokeburg,1
Collegeville,25
Collingdale,1
Colmar,1
Columbia,15
Commodore,3
Conestoga,3
Conneaut Lake,7
Conneautville,3
Connellsville,12
Conshohocken,31
Conway,3
Coopersburg,11
Cooperstown,1
Coplay,7
Coraopolis,22
Corry,5
Coudersport,5
Covington,1
Covington Township,1
Cranberry Township,31
Cranberry Twp,14
Creighton,1
Cresco,2
Croydon,5
DUNCANNON,3
DURYEA,1
Daisytown,4
Dallas,20
Dallastown,7
Dalton,2
Damascus,1
Danielsville,10
Danville,15
Darby,5
Dauphin,4
Delaware Water Gap,3
Delmont,8
Delta,10
Denver,15
Derry,2
Devault,2
Devon,4
Dickson City,2
Dillsburg,27
Dingmans Ferry,1
Dornsife,1
Douglassville,17
Dover,17
Downingtown,63
Doylestown,71
Dresher,7
Drexel Hill,15
Driftwood,1
Drums,12
Du Bois,1
Dubois,8
Duncansville,6
Dunmore,1
Dupont,2
Duquesne,2
Dushore,3
E Lansdowne,1
E STROUDSBURG,2
E Stroudsburg,2
EVANS CITY,10
EXPORT,6
Eagleville,16
East Bangor,1
East Berlin,8
East Earl,5
East Greenville,4
East Norriton,4
East Petersburg,15
East Stroudsburg,26
Easton,74
Ebensburg,9
Eddystone,1
Edinboro,12
Edinburg,2
Edwardsville,6
Effort,6
Eighty Four,2
Elizabeth,5
Elizabethtown,38
Elkins Park,13
Elkland,1
Ellsworth,1
Ellwood City,4
Elverson,5
Elysburg,2
Emlenton,2
Emmaus,12
Emporium,1
Emsworth,1
Enola,1
Enon Valley,1
Ephrata,28
Equinunk,2
Erie,174
Essington,22
Etters,8
Everett,7
Everson,1
Exeter,5
Exton,44
FAIRFIELD,2
FOREST CITY,1
FSTRVL TRVOSE,1
Factoryville,3
Fairless Hills,3
Fairview,10
Fallentimber,2
Falls,1
Falls Creek,1
Fallsington,2
Fannettsburg,1
Farmington,1
Farrell,1
Fayette City,1
Fayetteville,10
Feasterville,2
Feasterville Trevose,19
Felton,2
Fenelton,4
Finleyville,12
Fleetwood,13
Flourtown,12
Fogelsville,3
Folcroft,4
Folsom,6
Fombell,1
Ford City,5
Fort Washington,7
Forty Fort,4
Fountain Hill,3
Fountainville,1
Frackville,1
Franklin,9
Franklintown,1
Fredericksburg,4
Fredericktown,2
Freedom,7
Freeland,5
Freeport,19
Friedens,1
Friendsville,2
Furlong,14
GAINES,1
GREENVILLE,6
Galeton,1
Gallitzin,1
Gap,9
Garnet Valley,10
Garrett,1
Germansville,1
Gettysburg,20
Gibsonia,28
Gilbertsville,18
Gillett,1
Girard,5
Girardville,1
Gladwyne,3
Glassport,3
Glen,2
Glen Mills,41
Glen lyon,2
Glen rock,7
Glenmoore,9
Glenolden,3
Glenshaw,8
Glenside,18
Glenville,2
Gordonville,3
Gouldsboro,2
Grampian,1
Grantham,4
Grantville,1
Granville Smt,1
Grapeville,1
Graysville,1
Greeley,1
Green Lane,10
Greencastle,15
Greensboro,1
Greensburg,48
Greentown,6
Grindstone,3
Grove City,8
Gwynedd,1
Gwynedd Valley,4
HARLEYSVILLE,23
HARMONY,4
HAVERFORD,3
HERMITAGE,5
HUNTINGDON,16
Halifax,8
Hamburg,10
Hanover,55
Hanover Township,6
Harrisburg,247
Harrison City,3
Harrisonville,1
Harrisurg,1
Harrisville,1
Hartstown,1
Hatboro,14
Hatfield,18
Havertown,34
Hawley,11
Hazle Township,1
Hazleton,13
Hellertown,14
Henryville,3
Hereford,1
Hershey,33
Hickory,1
Hillsville,1
Holicong,1
Holland,9
Hollidaysburg,8
Hollsopple,2
Holmes,1
Holtwood,2
Home,3
Homer City,1
Homestead,6
Honesdale,7
Honey Brook,5
Hookstown,7
Hooversville,1
Hopewell,1
Hopwood,6
Horsham,15
Houston,6
Howard,4
Hulmeville,1
Hummelstown,14
Hunlock Creek,5
Huntingdon Valley,40
Huntington Valley,1
Hyndman,1
Imperial,1
Indiana,38
Irwin,22
Ivyland,13
JEFFERSONVILLE,2
JENKINTOWN,9
JOHNSTOWN,3
Jackson Center,2
Jacobus,4
James City,1
Jamestown,2
Jamison,8
Jeannette,8
Jefferson Hills,12
Jermyn,4
Jersey Shore,2
Jessup,3
Jim Thorpe,7
Johnsonburg,1
Johnstown,43
Jones Mills,1
Jonestown,5
KINGSLEY,2
Kane,2
Kempton,5
Kennett Square,134
King of Prussia,53
Kingston,8
Kintnersville,5
Kinzers,4
Kittanning,5
Knoxville,2
Koppel,1
Kulpmont,1
Kunkletown,4
Kutztown,23
LANSDOWNE,12
LAWRENCE,1
Lackawaxen,2
Lafayette Hill,13
Lake Ariel,13
Lake City,5
Lake Harmony,1
Lakeville,1
Lakewood,2
Lamott,3
Lancaster,191
Landenberg,16
Landingville,1
Landisburg,1
Landisville,8
Langeloth,1
Langhorne,34
Lansdale,65
Lanse,1
Lansford,1
Laporte,1
Latrobe,21
Laughlintown,2
Laury's Station,1
Laurys Station,2
Le Raysville,1
Lebanon,44
Leechburg,3
Leesport,3
Leetsdale,4
Lehighton,13
Lemont,1
Lemoyne,9
Lenhartsville,3
Lenni,1
Leola,4
Levittown,31
Lewisberry,8
Lewisburg,14
Lewistown,8
Ligonier,9
Lilly,1
Limerick,6
Lincoln Univeristy,1
Lincoln University,18
Line Lexington,1
Linesville,4
Linfield,1
Linglestown,1
Linwood,3
Lititz,52
Little Marsh,2
Little Meadows,3
Littlestown,6
Llewellyn,1
Lock Haven,11
Long Pond,2
Lopez,1
Lords Valley,2
Loretto,3
Lower Burrell,1
Luzerne,1
Lykens,1
MILL HALL,7
MILROY,1
MONROEVILLE,33
MORGANTOWN,8
MORRIS,4
MOUNTAIN TOP,16
MOUNTVILLE,4
Macungie,25
Madison twp,1
Mahanoy City,2
Malvern,38
Manchester,5
Manheim,22
Manor,1
Manorville,3
Mansfield,5
Maple Glen,2
Mapleton Depot,3
Marcus Hook,2
Marianna,1
Marietta,8
Marion Center,1
Markleysburg,3
Mars,26
Martinsburg,2
Marysville,4
Matamoras,6
Mather,1
Mayfield,2
Mc Alisterville,1
Mc Clellandtown,1
Mc Clure,1
Mc Connellsburg,7
Mc Donald,16
Mc Kees Rocks,11
McDonald,3
McKean,4
McKees Rock,2
McKeesport,5
McMurray,14
McSherrystown,2
McVeytown,1
Mckeesport,2
Meadowbrook,5
Meadville,12
Mechanicsburg,42
Media,33
Mercer,4
Mercersburg,21
Merion Station,2
Mertztown,2
Meyersdale,2
Middleburg,7
Middletown,17
Midway,3
Mifflin,2
Mifflinburg,4
Mifflintown,3
Mildred,1
Milford,26
Milford Square,1
Millersburg,4
Millerstown,2
Millersville,8
Millerton,2
Millheim,2
Millmont,1
Mills,3
Millvale,2
Millville,3
Milton,3
Mineral Point,2
Mohrsville,4
Monaca,8
Monessen,9
Monongahela,5
Monroe Township,2
Montgomery,9
Montgomeryville,4
Montoursville,15
Montrose,8
Moon,1
Moon Township,55
Moon Twp,35
Moosic,9
Morrisdale,7
Morrisville,17
Moscow,3
Mount Bethel,1
Mount Carmel,1
Mount Holly Springs,3
Mount Jewett,2
Mount Joy,20
Mount Pleasant,1
Mount Pocono,2
Mount Union,3
Mount Washington,1
Mount Wolf,2
Mt Morris,1
Mt Pleasant,2
Mt Pleasant Mills,3
Mt. Lebanon,1
Mt. Pleasant,1
Mt.joy,1
Muncy,4
Munhall,3
Munson,1
Murrysville,6
Myerstown,14
N CAMBRIA,1
N Huntingdon,1
NATRONA HEIGHTS,8
NEW  BRIGHTON,1
NORRISTOWN,25
NORTH APOLLO,7
Nanticoke,3
Nanty Glo,2
Narberth,4
Narvon,2
Nazareth,25
Nescopeck,1
Nesquehoning,1
New Alexandria,1
New Berlin,2
New Bethlehem,1
New Bloomfield,3
New Brighton,10
New Britain,2
New Castle,34
New Cumberland,12
New Florence,1
New Freedom,7
New Galilee,4
New Hallind Pa,1
New Holland,16
New Hope,28
New Kensington,28
New Milford,6
New Oxford,16
New Providence,2
New Ringgold,4
New Stanton,1
New Tripoli,1
New Wilmington,3
New eagle,1
Newfoundland,2
Newmanstown,4
Newport,1
Newtown,19
Newtown Square,16
Newville,5
Nicholson,1
Nicktown,2
Normalville,2
Norristown,46
North East,3
North Huntingdon,13
North Versailles,7
North Wales,27
Northampton,13
Northern Cambria,1
Northumberland,9
Norwood,6
Nottingham,3
Noxen,2
Oakdale,5
Oakford,1
Oakmont,2
Oil City,8
Old Forge,3
Oley,3
Olyphant,4
Orbisonia,2
Orefield,10
Oreland,7
Orrstown,1
Orrtanna,3
Orwigsburg,8
Osceola Mills,1
Osterburg,2
Ottsville,3
Oxford,14
PHILA,4
PHILADELPHIA,19
Pa Furnace,1
Palm,1
Palmyra,30
Paoli,10
Paradise,11
Parkesburg,6
Parkhill,1
Patton,2
Peach Bottom,2
Peckville,8
Pen Argyl,3
Penfield,2
Penn Hills,1
Penn Valley,3
Penndel,1
Penns Park,1
Pennsdale,1
Pennsylvania Department Of,4
Pennsylvania Furnace,1
Pequea,6
Perkasie,31
Perkiomenville,5
Perryopolis,7
Petersburg,1
Phila,6
Philadelphia,868
Philipsburg,8
Phoenixville,71
Pine Grove,7
Pipersville,13
Pittsburgh,791
Pittston,7
Plains,4
Pleasant Gap,1
Pleasant Mount,4
Plum,1
Plymouth Meeting,10
Pocono Lake,1
Pocono Summit,1
Port Allegany,1
Port Carbon,3
Port Matilda,10
Port Trevorton,1
Port griffith,2
Portage,7
Portersville,3
Pottstown,66
Pottsville,11
Presto,2
Prospect,2
Prospect Park,1
Prosperity,1
Pulaski,1
Punxsutawney,15
Quakertown,30
Quarryville,3
RED HILL,1
RUSSELLTON,1
Radnor,3
Ramey,1
Reading,81
Rector,4
Red Lion,23
Reedsville,1
Reinholds,9
Renfrew,8
Reynoldsville,5
Reynoldsville`,2
Richboro,11
Richfield,3
Richland,2
Ridgway,3
Ridley Park,5
Riegelsville,7
Riverside,1
Rixford,1
Roaring Brook Twp,2
Roaring Spring,7
Rochester,8
Rockledge,1
Rockwood,1
Rome,2
Ronks,20
Roseto,2
Roslyn,5
Rostraver Township,4
Rostraver Twp,2
Royersford,10
Ruffs Dale,1
Rural Valley,1
Rushland,1
Russell,1
Rutledge,1
SANATOGA,1
SEVEN VALLEYS,2
SEWICKLEY,19
SINKING SPRING,14
SOUTH WILLIAMSPORT,5
SPRING BROOK TOWNSHIP,2
SPRING CREEK,4
STATE COLLEGE,90
Saegertown,6
Saint Clair,1
Saint Marys,4
Saint Thomas,1
Saltsburg,6
Sandy Lake,6
Sarver,2
Saxonburg,2
Saylorsburg,3
Sayre,9
Schnecksville,9
Schuylkill Haven,3
Schwenksville,11
Scotland,1
Scotrun,1
Scott Township,1
Scottdale,3
Scranton,33
Selinsgrove,8
Sellersville,12
Seven Fields,4
Shamokin,1
Shamokin Dam,1
Shanksville,1
Sharon,2
Sharon Hill,6
Sharpsville,1
Shavertown,5
Shawnee on Delaware,3
Shelocta,3
Shenandoah,1
Shermans Dale,6
Shickshinny,3
Shippensburg,15
Shippenville,2
Shiremanstown,2
Shoemakersville,2
Shohola,2
Shrewsbury,5
Shunk,1
Sidman,2
Skippack,3
Slatington,87
Slippery Rock,5
Smithfield,1
Smithton,4
Smock,2
Somerset,15
Souderton,11
South Abington Township,3
South Park,9
South Waverly,1
Southampton,17
Spring City,10
Spring Grove,11
Spring Mills,2
Springboro,1
Springdale,1
Springfield,13
St Davids,1
Stahlstown,1
State College,60
Steelton,7
Stevens,13
Stevensville,1
Stewartstown,14
Stillwater,1
Stockdale,1
Stowe,1
Strabane,1
Strasburg,6
Strattanville,1
Strongstown,2
Stroudsburg,17
Sugarloaf,3
Summerville,1
Sunbury,4
Swarthmore,10
Sweet Valley,4
Swissvale,2
Swoyersville,2
TROUT RUN,3
TURTLE CREEK,3
Tafton,4
Tamaqua,4
Tannersville,1
Tarentum,2
Tatamy,4
Taylor,3
Telford,22
Temple,2
Thomasville,1
Thornhurst,1
Thornton,3
Throop,2
Tidioute,1
Timblin,2
Tioga,2
Tionesta,1
Tobyhanna,8
Towanda,8
Tower City,1
Trafford,7
Trainer,5
Transfer,2
Trappe,3
Trevorton,3
Trevose,1
Trucksville,6
Tunkhannock,20
Turbotville,4
Tyler Hill,1
Tyrone,1
Ulster,3
Union Dale,1
Uniontown,17
Unionville,1
Unityville,1
University Park,52
Upper Black Eddy,4
Upper Chichester,18
Upper Darby,9
Upper St Clair,2
Valencia,9
Valley View,1
Vandergrift,1
Venetia,6
Verona,11
Villanova,8
W Cnshohocken,2
W Middlesex,1
WEST CHESTER,66
WEST MIFFLIN,16
WYNNEWOOD,7
WYSOX,2
Wall,1
Wallingford,18
Walnutport,6
Warminster,31
Warren,5
Warrendale,10
Warrington,23
Warrior Run,1
Warwick,3
Washington,43
Washington Boro,1
Washington Crossing,2
Waterford,3
Watsontown,3
Wayne,13
Waynesboro,28
Waynesburg,5
Weatherly,5
Wellsboro,11
Wellsville,4
Wernersville,11
Wescosville,2
West Chester,57
West Finley,1
West Grove,25
West Hazleton,1
West Lawn,8
West Leechburg,1
West Milton,1
West Newton,5
West Pittsburg,1
West Pittston,7
West Reading,4
West Sunbury,1
West Wyoming,1
Westfield,3
Westmoreland City,2
Wexford,19
White Haven,4
White Oak,5
Whitehall,9
Wilkes Barre,26
Wilkes-Barre,8
Wilkinsburg,2
Williamsburg,2
Williamsport,44
Williamstown,5
Willow Grove,16
Willow Street,5
Wind Gap,2
Windber,6
Windsor,1
Womelsdorf,5
Wood,1
Woodbury,1
Woodlyn,2
Woodward,1
Wormleysburg,6
Worthington,4
Wrightsville,1
Wyalusing,2
Wyncote,7
Wyndmoor,8
Wyoming,3
Wyomissing,6
Yardley,26
Yatesville,2
Yeadon,2
York,142
York Haven,3
York Springs,2
Youngsville,2
Youngwood,2
Yukon,1
ZIEGLERVILLE,1
Zelienople,11
"Zelienople,",1
Zionsville,3
aston,9
brackenridge,1
bradfordwoods,2
clifton heights,5
dunmore,3
east norriton,8
gardners,1
hannastown,1
hastings,1
hellam,3
mechanicsburg,66
mohnton,6
palmerton,4
pennsburg,23
philadelphia,29
pittsburgh,26
seneca,2
susquehanna,3
"york,",1
